<NUMBER OF ZONES> 13
<NUMBER OF NODES> 13
<FIRST THRU NODE> 1
<NUMBER OF LINKS> 48
<END OF METADATA>


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	1	2	25900.20064	6	5	0.15	4	0	0	1	;
	1	6	23403.47319	4	7	0.15	4	0	0	1	;
	1	7	25900.20064	6	15	0.15	4	0	0	1	;
	2	1	4958.180928	5	5	0.15	4	0	0	1	;
	2	3	23403.47319	4	11	0.15	4	0	0	1	;
	2	7	17110.52372	4	7	0.15	4	0	0	1	;
	2	8	23403.47319	4	9	0.15	4	0	0	1	;
	3	2	17110.52372	4	11	0.15	4	0	0	1	;
	3	4	17782.7941	2	13	0.15	4	0	0	1	;
	3	8	4908.82673	6	9	0.15	4	0	0	1	;
	4	3	17782.7941	2	13	0.15	4	0	0	1	;
	4	5	10000	5	2	0.15	4	0	0	1	;
	4	9	4947.995469	4	9	0.15	4	0	0	1	;
	5	4	4958.180928	5	2	0.15	4	0	0	1	;
	5	9	4947.995469	4	12	0.15	4	0	0	1	;
	6	1	7841.81131	3	7	0.15	4	0	0	1	;
	6	7	4898.587646	2	11	0.15	4	0	0	1	;
	6	10	7841.81131	3	11	0.15	4	0	0	1	;
	7	1	4898.587646	2	15	0.15	4	0	0	1	;
	7	2	7841.81131	3	7	0.15	4	0	0	1	;
	7	6	23403.47319	2	11	0.15	4	0	0	1	;
	7	8	17110.52372	4	7	0.15	4	0	0	1	;
	7	10	4908.82673	6	7	0.15	4	0	0	1	;
	7	11	17782.7941	2	9	0.15	4	0	0	1	;
	8	2	4947.995469	4	9	0.15	4	0	0	1	;
	8	3	10000	5	9	0.15	4	0	0	1	;
	8	7	17782.7941	2	7	0.15	4	0	0	1	;
	8	9	4958.180928	5	3	0.15	4	0	0	1	;
	8	11	4898.587646	2	9	0.15	4	0	0	1	;
	8	12	4947.995469	4	13	0.15	4	0	0	1	;
	9	4	23403.47319	2	9	0.15	4	0	0	1	;
	9	5	4898.587646	2	12	0.15	4	0	0	1	;
	9	8	7841.81131	3	3	0.15	4	0	0	1	;
	9	12	25900.20064	6	9	0.15	4	0	0	1	;
	9	13	7841.81131	3	12	0.15	4	0	0	1	;
	10	6	23403.47319	4	11	0.15	4	0	0	1	;
	10	7	25900.20064	6	7	0.15	4	0	0	1	;
	10	11	4958.180928	5	7	0.15	4	0	0	1	;
	11	7	25900.20064	6	9	0.15	4	0	0	1	;
	11	8	23403.47319	4	9	0.15	4	0	0	1	;
	11	10	23403.47319	4	7	0.15	4	0	0	1	;
	11	12	25900.20064	6	3	0.15	4	0	0	1	;
	12	8	23403.47319	4	13	0.15	4	0	0	1	;
	12	9	25900.20064	6	9	0.15	4	0	0	1	;
	12	11	23403.47319	4	3	0.15	4	0	0	1	;
	12	13	23403.47319	4	2	0.15	4	0	0	1	;
	13	9	99999.00000	4	12	0.15	4	0	0	1	;
	13	12	99999.00000	4	2	0.15	4	0	0	1	;
